Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv=0,"27(2,25)-26(2,24)",261.254679,31.03607899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HN13C,J=3-2,261.2633101,40.9390034,25.07746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,NH2CN,"13(2,11)-12(2,10),v=1",259.390543,5.183934141,214.96087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-259398,259.398,13.80201795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,13CH3CH2CN,"31(0,31)-30(0,30)",259.409278,26.83510492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3CH2CNv=0,"29(6,24)-28(6,23)",260.221653,2.247551384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,NaClv=0,20-19,260.223092,3.905352425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCHOv=0,"21(3,18)-20(3,17)E",260.24445,28.50869712,146.75702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,g-CH3CH2OH,"33(6,27)-32(7,26),vt=1-1",260.2487548,33.4671218,573.76032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,H13CO+,"J=3-2,F1=5/2-5/2,F=3-3",260.2552753,40.97735765,24.98074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,SiOv=0,6-5,260.51802,36.12074323,43.76165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,"CH3CHOv=0,1&2","14(1,14)-13(1,13)A++",260.544027,66.04184007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCH3,"15(5,10)-15(4,11)EA",261.2464563,21.74965077,144.43934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH2CHCNv=0,"27(2,25)-26(2,24)",261.254679,31.18459989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HN13C,J=3-2,261.2633101,41.08751938,25.07746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,259_spw47,max,UnidentifiedTransition,U-257015,257.015,4.527574045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CH2CHCNv15=1,"27(4,24)-26(4,23)",257.0202,10.59284533,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CH3OCH3,"18(2,16)-17(3,15)AA",257.048633,43.75270956,164.42769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t-CH3CH2OH,"16(1,15)-15(2,14)",257.060879,58.03229446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CH3OCHOv=0,"22(2,20)-21(3,19)A",257.074938,74.42427076,152.2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34SO2v=0,"29(9,21)-30(8,22)",257.4667274,21.37836401,591.58785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CH3CNv8=1,"14(5)-13(5),l=1",258.2321,13.66710552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SO3&Sigma;v=0,6(6)-5(5),258.255813,41.19273752,56.49798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,258_spw69,max,CH3OCHOv=0,"22(3,20)-21(3,19)E",257.690306,8.546008275,152.26291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-257738,257.738,64.02053628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CNv8=1,"14(7)-13(7),l=1",258.13227,11.45572069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
